,class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
32,p,14.1,3,1,10,0,3,15,7,16.94,16.76,1,2,7,1,7,1,5,15,7,1
33,p,13.81,3,4,10,0,3,15,7,17.22,17.11,1,2,7,1,7,1,3,15,7,2
34,p,14.67,3,4,10,0,3,15,7,17.2,16.77,1,2,7,1,7,1,5,15,7,2
35,p,14.23,3,4,6,0,3,15,7,17.22,17.23,1,2,7,1,7,1,5,15,7,1
36,p,14.78,3,1,6,0,3,15,7,17.44,17.13,1,2,7,1,7,1,5,15,7,1
37,p,15.08,2,1,6,0,3,15,7,17.09,17.8,1,2,7,1,7,1,3,15,7,3
38,p,16.0,2,1,6,0,3,15,7,16.96,17.22,1,2,7,1,7,1,3,15,7,1
39,p,14.76,3,1,10,0,3,15,7,18.14,17.54,1,2,7,1,7,1,5,15,7,2
40,p,14.89,2,1,6,0,3,15,7,17.78,18.07,1,2,7,1,7,1,3,15,7,3
41,p,13.05,3,1,6,0,3,15,7,17.32,17.17,1,2,7,1,7,1,5,15,7,3
42,p,13.03,3,4,6,0,3,15,7,17.05,17.07,1,2,7,1,7,1,5,15,7,3
43,p,14.07,3,1,10,0,3,15,7,16.98,17.76,1,2,7,1,7,1,5,15,7,3
44,p,15.09,3,1,10,0,3,15,7,17.45,18.15,1,2,7,1,7,1,3,15,7,2
45,p,12.22,3,4,10,0,3,15,7,18.19,17.62,1,2,7,1,7,1,3,15,7,3
46,p,15.12,2,1,6,0,3,15,7,17.03,17.2,1,2,7,1,7,1,3,15,7,2
47,p,18.04,3,1,6,0,3,15,7,18.86,19.79,1,2,7,1,7,1,3,15,7,3
48,p,12.27,3,1,10,0,3,15,7,16.15,17.17,1,2,7,1,7,1,3,15,7,3
49,p,16.03,3,1,10,0,3,15,7,19.34,19.37,1,2,7,1,7,1,3,15,7,1
50,p,16.51,2,1,10,0,3,15,7,18.38,18.29,1,2,7,1,7,1,3,15,7,3
51,p,14.96,3,4,10,0,3,15,7,18.26,18.28,1,2,7,1,7,1,5,15,7,3
52,p,15.9,3,4,6,0,3,15,7,17.34,17.54,1,2,7,1,7,1,3,15,7,3
53,p,15.48,2,1,6,0,3,15,7,19.22,18.14,1,2,7,1,7,1,5,15,7,1
54,p,15.63,3,4,10,0,3,15,7,17.72,16.82,1,2,7,1,7,1,3,15,7,2
55,p,14.8,2,1,10,0,3,15,7,17.94,17.42,1,2,7,1,7,1,3,15,7,3
56,p,16.0,2,4,10,0,3,15,7,17.67,17.96,1,2,7,1,7,1,3,15,7,3
57,p,15.07,3,4,10,0,3,15,7,16.97,17.51,1,2,7,1,7,1,3,15,7,1
58,p,13.12,2,4,6,0,3,15,7,17.96,17.89,1,2,7,1,7,1,5,15,7,2
59,p,13.82,3,4,10,0,3,15,7,16.86,17.14,1,2,7,1,7,1,5,15,7,1
60,p,17.23,2,4,6,0,3,15,7,18.51,18.59,1,2,7,1,7,1,3,15,7,1
61,p,12.57,2,1,10,0,3,15,7,16.62,15.7,1,2,7,1,7,1,5,15,7,2
62,p,14.85,2,4,10,0,3,15,7,17.36,16.46,1,2,7,1,7,1,3,15,7,2
63,p,12.55,2,1,6,0,3,15,7,16.97,17.39,1,2,7,1,7,1,3,15,7,1
64,p,13.53,2,1,6,0,3,15,7,16.65,16.91,1,2,7,1,7,1,3,15,7,2
65,p,16.84,2,4,6,0,3,15,7,17.3,17.27,1,2,7,1,7,1,5,15,7,3
66,p,15.73,2,4,10,0,3,15,7,17.58,17.59,1,2,7,1,7,1,5,15,7,1
67,p,11.46,2,4,10,0,3,15,7,17.56,18.39,1,2,7,1,7,1,3,15,7,3
68,p,15.06,3,1,10,0,3,15,7,15.77,16.1,1,2,7,1,7,1,5,15,7,3
69,p,16.15,2,4,6,0,3,15,7,18.25,17.67,1,2,7,1,7,1,5,15,7,2
70,p,13.78,3,4,10,0,3,15,7,17.18,17.6,1,2,7,1,7,1,3,15,7,3
71,p,16.77,3,4,6,0,3,15,7,18.81,19.23,1,2,7,1,7,1,3,15,7,1
72,p,17.32,3,1,10,0,3,15,7,17.67,17.83,1,2,7,1,7,1,3,15,7,1
73,p,18.65,2,4,6,0,3,15,7,18.6,19.03,1,2,7,1,7,1,5,15,7,1
74,p,14.11,3,4,6,0,3,15,7,16.87,16.23,1,2,7,1,7,1,3,15,7,1
75,p,16.25,3,1,10,0,3,15,7,17.32,17.6,1,2,7,1,7,1,5,15,7,1
76,p,13.59,2,1,10,0,3,15,7,18.58,18.87,1,2,7,1,7,1,5,15,7,3
77,p,17.3,3,1,10,0,3,15,7,17.39,18.35,1,2,7,1,7,1,3,15,7,1
78,p,12.13,3,1,6,0,3,15,7,16.66,16.62,1,2,7,1,7,1,5,15,7,2
79,p,12.29,2,4,6,0,3,15,7,16.45,15.65,1,2,7,1,7,1,5,15,7,2
80,p,14.74,2,4,10,0,3,15,7,16.8,17.46,1,2,7,1,7,1,5,15,7,3
81,p,15.13,3,4,6,0,3,15,7,17.81,17.24,1,2,7,1,7,1,5,15,7,1
82,p,13.66,3,1,10,0,3,15,7,16.21,16.65,1,2,7,1,7,1,3,15,7,1
83,p,13.3,2,1,6,0,3,15,7,17.75,17.19,1,2,7,1,7,1,5,15,7,3
84,p,14.16,3,1,10,0,3,15,7,15.26,16.19,1,2,7,1,7,1,3,15,7,3
85,p,16.66,2,4,10,0,3,15,7,18.73,18.47,1,2,7,1,7,1,5,15,7,2
86,p,15.55,3,1,6,0,3,15,7,17.03,17.84,1,2,7,1,7,1,5,15,7,2
87,p,14.28,3,1,6,0,3,15,7,17.55,17.58,1,2,7,1,7,1,5,15,7,2
88,p,16.92,2,1,6,0,3,15,7,18.3,18.81,1,2,7,1,7,1,3,15,7,3
89,p,15.55,2,4,6,0,3,15,7,16.75,16.97,1,2,7,1,7,1,5,15,7,3
90,p,15.08,2,4,10,0,3,15,7,17.51,16.82,1,2,7,1,7,1,5,15,7,1
91,p,12.02,3,1,10,0,3,15,7,16.16,16.61,1,2,7,1,7,1,5,15,7,2
92,p,13.69,3,1,6,0,3,15,7,16.58,15.84,1,2,7,1,7,1,5,15,7,1
93,p,15.36,3,1,10,0,3,15,7,17.53,15.97,1,2,7,1,7,1,5,15,7,2
94,p,15.22,3,1,10,0,3,15,7,16.87,17.46,1,2,7,1,7,1,5,15,7,1
95,p,15.49,3,4,6,0,3,15,7,17.45,16.64,1,2,7,1,7,1,5,15,7,2
96,p,12.16,2,4,6,0,3,15,7,17.46,17.51,1,2,7,1,7,1,3,15,7,1
97,p,16.04,3,4,10,0,3,15,7,17.39,17.19,1,2,7,1,7,1,5,15,7,1
98,p,16.31,3,4,6,0,3,15,7,17.15,17.05,1,2,7,1,7,1,3,15,7,1
99,p,15.35,3,1,10,0,3,15,7,17.89,18.21,1,2,7,1,7,1,3,15,7,1
100,p,11.17,2,4,10,0,3,15,7,16.44,16.12,1,2,7,1,7,1,3,15,7,2
101,p,13.74,2,1,6,0,3,15,7,16.7,15.79,1,2,7,1,7,1,3,15,7,1
102,p,14.62,3,4,6,0,3,15,7,16.07,17.02,1,2,7,1,7,1,5,15,7,2
103,p,13.14,3,4,10,0,3,15,7,16.99,18.05,1,2,7,1,7,1,5,15,7,3
104,p,15.53,2,1,10,0,3,15,7,18.06,17.37,1,2,7,1,7,1,5,15,7,3
105,p,17.08,2,4,10,0,3,15,7,17.79,18.79,1,2,7,1,7,1,3,15,7,2
106,p,17.09,2,1,10,0,3,15,7,19.19,18.89,1,2,7,1,7,1,5,15,7,1
107,p,15.31,2,1,10,0,3,15,7,16.19,17.04,1,2,7,1,7,1,5,15,7,3
108,p,16.11,3,4,6,0,3,15,7,17.91,17.88,1,2,7,1,7,1,5,15,7,1
109,p,14.96,2,1,10,0,3,15,7,17.92,17.51,1,2,7,1,7,1,3,15,7,2
110,p,16.12,2,1,6,0,3,15,7,17.98,16.93,1,2,7,1,7,1,5,15,7,1
111,p,14.19,3,1,10,0,3,15,7,17.83,18.3,1,2,7,1,7,1,5,15,7,3
112,p,15.67,2,1,10,0,3,15,7,19.25,19.52,1,2,7,1,7,1,5,15,7,3
113,p,11.35,2,4,6,0,3,15,7,16.96,15.39,1,2,7,1,7,1,5,15,7,2
114,p,14.52,2,1,10,0,3,15,7,17.04,17.57,1,2,7,1,7,1,5,15,7,1
115,p,14.41,3,4,10,0,3,15,7,17.1,16.96,1,2,7,1,7,1,3,15,7,2
116,p,16.3,3,4,6,0,3,15,7,18.25,16.66,1,2,7,1,7,1,5,15,7,3
117,p,13.36,2,1,10,0,3,15,7,17.26,17.08,1,2,7,1,7,1,5,15,7,1
118,p,14.29,2,4,10,0,3,15,7,17.87,18.0,1,2,7,1,7,1,3,15,7,1
119,p,12.29,2,1,10,0,3,15,7,16.84,16.26,1,2,7,1,7,1,5,15,7,1
120,p,13.66,3,4,10,0,3,15,7,17.73,17.29,1,2,7,1,7,1,3,15,7,3
121,p,14.51,3,4,6,0,3,15,7,16.7,15.98,1,2,7,1,7,1,5,15,7,1
122,p,14.55,3,4,6,0,3,15,7,16.94,17.9,1,2,7,1,7,1,5,15,7,3
123,p,14.97,3,1,6,0,3,15,7,18.45,17.51,1,2,7,1,7,1,3,15,7,1
124,p,13.06,2,4,10,0,3,15,7,15.72,16.19,1,2,7,1,7,1,3,15,7,3
125,p,12.85,2,1,10,0,3,15,7,17.35,16.64,1,2,7,1,7,1,3,15,7,1
126,p,14.0,3,4,6,0,3,15,7,16.57,16.04,1,2,7,1,7,1,5,15,7,3
127,p,13.93,3,4,6,0,3,15,7,16.65,16.86,1,2,7,1,7,1,5,15,7,3
128,p,17.91,3,1,10,0,3,15,7,17.63,18.15,1,2,7,1,7,1,5,15,7,3
129,p,14.43,3,1,6,0,3,15,7,17.41,18.24,1,2,7,1,7,1,3,15,7,1
130,p,13.43,3,1,6,0,3,15,7,16.13,16.25,1,2,7,1,7,1,5,15,7,3
131,p,13.04,3,4,10,0,3,15,7,17.99,17.49,1,2,7,1,7,1,3,15,7,2
132,p,17.1,2,1,6,0,3,15,7,18.96,18.94,1,2,7,1,7,1,3,15,7,3
133,p,15.07,3,4,6,0,3,15,7,18.33,18.88,1,2,7,1,7,1,3,15,7,3
134,p,15.03,3,4,6,0,3,15,7,18.81,18.36,1,2,7,1,7,1,5,15,7,3
135,p,16.37,3,4,6,0,3,15,7,17.96,18.69,1,2,7,1,7,1,5,15,7,2
136,p,11.02,3,1,10,0,3,15,7,15.98,16.02,1,2,7,1,7,1,3,15,7,1
137,p,17.61,3,1,6,0,3,15,7,18.35,17.91,1,2,7,1,7,1,3,15,7,1
138,p,17.54,3,4,10,0,3,15,7,18.2,17.76,1,2,7,1,7,1,3,15,7,3
139,p,16.77,2,4,10,0,3,15,7,18.02,19.96,1,2,7,1,7,1,5,15,7,2
140,p,16.21,3,4,10,0,3,15,7,17.29,17.29,1,2,7,1,7,1,5,15,7,2
141,p,14.94,2,1,6,0,3,15,7,17.5,18.26,1,2,7,1,7,1,3,15,7,2
142,p,14.74,3,4,10,0,3,15,7,18.42,18.5,1,2,7,1,7,1,3,15,7,3
143,p,15.97,2,4,10,0,3,15,7,16.42,16.89,1,2,7,1,7,1,3,15,7,1
144,p,13.56,2,1,6,0,3,15,7,17.3,17.96,1,2,7,1,7,1,3,15,7,1
145,p,15.13,2,4,6,0,3,15,7,18.75,18.33,1,2,7,1,7,1,5,15,7,1
146,p,15.42,3,1,10,0,3,15,7,18.34,18.24,1,2,7,1,7,1,3,15,7,1
147,p,13.49,2,1,10,0,3,15,7,17.6,17.44,1,2,7,1,7,1,3,15,7,2
148,p,15.71,3,4,6,0,3,15,7,17.91,18.23,1,2,7,1,7,1,5,15,7,2
149,p,14.96,3,1,6,0,3,15,7,17.96,17.37,1,2,7,1,7,1,5,15,7,1
150,p,15.34,3,4,10,0,3,15,7,17.74,18.62,1,2,7,1,7,1,5,15,7,3
151,p,12.26,2,1,10,0,3,15,7,18.14,17.58,1,2,7,1,7,1,5,15,7,2
152,p,13.46,3,1,10,0,3,15,7,16.92,15.3,1,2,7,1,7,1,5,15,7,3
153,p,16.59,3,1,10,0,3,15,7,18.93,18.51,1,2,7,1,7,1,5,15,7,1
154,p,14.98,2,1,6,0,3,15,7,17.35,17.7,1,2,7,1,7,1,5,15,7,2
155,p,13.7,3,4,6,0,3,15,7,17.04,17.74,1,2,7,1,7,1,3,15,7,1
156,p,14.92,2,1,6,0,3,15,7,18.07,17.02,1,2,7,1,7,1,3,15,7,1
157,p,12.0,3,1,6,0,3,15,7,15.9,16.23,1,2,7,1,7,1,3,15,7,1
158,p,14.75,3,4,6,0,3,15,7,16.76,17.24,1,2,7,1,7,1,3,15,7,3
159,p,16.6,3,1,6,0,3,15,7,18.46,18.38,1,2,7,1,7,1,5,15,7,3
160,p,11.77,2,1,10,0,3,15,7,16.96,15.57,1,2,7,1,7,1,3,15,7,1
161,p,16.37,3,4,10,0,3,15,7,18.21,18.8,1,2,7,1,7,1,3,15,7,3
162,p,13.89,3,1,6,0,3,15,7,17.83,17.66,1,2,7,1,7,1,3,15,7,3
163,p,11.71,3,4,6,0,3,15,7,16.47,16.1,1,2,7,1,7,1,3,15,7,2
164,p,15.5,3,4,10,0,3,15,7,17.92,18.09,1,2,7,1,7,1,5,15,7,1
165,p,15.93,2,4,6,0,3,15,7,16.86,16.9,1,2,7,1,7,1,5,15,7,1
166,p,17.73,3,4,6,0,3,15,7,19.19,18.16,1,2,7,1,7,1,5,15,7,2
167,p,17.23,3,4,6,0,3,15,7,17.45,17.79,1,2,7,1,7,1,3,15,7,2
168,p,16.76,3,1,10,0,3,15,7,18.81,18.35,1,2,7,1,7,1,3,15,7,1
169,p,14.14,2,1,10,0,3,15,7,16.89,17.97,1,2,7,1,7,1,5,15,7,3
170,p,12.86,2,1,10,0,3,15,7,16.4,16.98,1,2,7,1,7,1,3,15,7,2
171,p,16.79,3,1,10,0,3,15,7,18.81,18.09,1,2,7,1,7,1,3,15,7,2
172,p,14.18,3,4,6,0,3,15,7,17.87,18.2,1,2,7,1,7,1,5,15,7,2
173,p,13.56,2,4,6,0,3,15,7,17.14,16.74,1,2,7,1,7,1,3,15,7,3
174,p,14.32,2,1,6,0,3,15,7,16.45,15.77,1,2,7,1,7,1,3,15,7,2
175,p,13.64,2,4,6,0,3,15,7,16.74,16.93,1,2,7,1,7,1,5,15,7,3
176,p,13.49,2,4,10,0,3,15,7,16.73,17.51,1,2,7,1,7,1,5,15,7,3
177,p,14.7,2,1,6,0,3,15,7,16.84,16.67,1,2,7,1,7,1,5,15,7,2
178,p,13.33,3,4,10,0,3,15,7,19.25,18.76,1,2,7,1,7,1,5,15,7,3
179,p,12.87,3,4,6,0,3,15,7,16.52,17.5,1,2,7,1,7,1,3,15,7,3
180,p,14.36,2,4,6,0,3,15,7,17.87,17.87,1,2,7,1,7,1,5,15,7,1
181,p,14.39,3,1,6,0,3,15,7,17.55,17.24,1,2,7,1,7,1,3,15,7,3
182,p,14.17,2,4,6,0,3,15,7,17.47,17.07,1,2,7,1,7,1,3,15,7,3
183,p,16.4,3,1,10,0,3,15,7,17.92,17.83,1,2,7,1,7,1,3,15,7,1
184,p,12.31,3,1,6,0,3,15,7,17.02,16.01,1,2,7,1,7,1,5,15,7,3
185,p,14.77,2,4,6,0,3,15,7,16.61,17.06,1,2,7,1,7,1,3,15,7,3
186,p,15.02,3,4,6,0,3,15,7,16.89,17.26,1,2,7,1,7,1,5,15,7,1
187,p,13.9,2,4,10,0,3,15,7,18.1,17.7,1,2,7,1,7,1,3,15,7,1
188,p,17.13,2,4,6,0,3,15,7,16.46,16.83,1,2,7,1,7,1,3,15,7,1
189,p,13.68,3,1,10,0,3,15,7,18.22,17.47,1,2,7,1,7,1,3,15,7,2
190,p,15.0,2,1,6,0,3,15,7,18.12,17.13,1,2,7,1,7,1,3,15,7,3
191,p,13.5,2,4,6,0,3,15,7,15.51,15.17,1,2,7,1,7,1,5,15,7,2
192,p,13.94,2,4,6,0,3,15,7,17.65,17.49,1,2,7,1,7,1,5,15,7,1
193,p,14.62,3,1,6,0,3,15,7,17.41,17.65,1,2,7,1,7,1,3,15,7,1
194,p,13.76,3,1,10,0,3,15,7,17.89,17.87,1,2,7,1,7,1,5,15,7,3
195,p,16.71,2,4,6,0,3,15,7,17.87,17.29,1,2,7,1,7,1,3,15,7,1
196,p,15.5,2,1,6,0,3,15,7,17.83,18.79,1,2,7,1,7,1,3,15,7,1
197,p,14.77,2,4,6,0,3,15,7,16.72,16.51,1,2,7,1,7,1,5,15,7,2
198,p,18.14,2,1,10,0,3,15,7,18.49,19.13,1,2,7,1,7,1,5,15,7,1
199,p,15.78,2,4,10,0,3,15,7,18.71,18.83,1,2,7,1,7,1,3,15,7,3
200,p,17.25,2,1,10,0,3,15,7,17.71,18.05,1,2,7,1,7,1,5,15,7,2
201,p,16.58,3,4,10,0,3,15,7,18.74,18.32,1,2,7,1,7,1,3,15,7,3
202,p,13.06,2,1,6,0,3,15,7,18.18,19.12,1,2,7,1,7,1,5,15,7,1
203,p,15.48,2,1,10,0,3,15,7,16.79,16.48,1,2,7,1,7,1,3,15,7,3
204,p,16.1,3,1,10,0,3,15,7,17.66,17.28,1,2,7,1,7,1,3,15,7,3
205,p,15.57,2,1,6,0,3,15,7,18.51,18.18,1,2,7,1,7,1,5,15,7,3
206,p,15.02,2,1,10,0,3,15,7,16.27,16.81,1,2,7,1,7,1,3,15,7,2
207,p,14.13,2,4,6,0,3,15,7,17.28,16.55,1,2,7,1,7,1,3,15,7,2
208,p,16.03,3,1,10,0,3,15,7,18.22,18.37,1,2,7,1,7,1,5,15,7,3
209,p,13.82,2,4,10,0,3,15,7,15.69,15.73,1,2,7,1,7,1,5,15,7,2
210,p,15.89,2,1,10,0,3,15,7,17.82,18.03,1,2,7,1,7,1,3,15,7,1
211,p,15.0,3,1,10,0,3,15,7,18.14,18.2,1,2,7,1,7,1,5,15,7,1
212,p,17.22,3,4,6,0,3,15,7,18.26,18.23,1,2,7,1,7,1,5,15,7,3
213,p,16.76,2,4,10,0,3,15,7,16.78,16.07,1,2,7,1,7,1,5,15,7,3
214,p,16.97,2,1,10,0,3,15,7,17.37,16.59,1,2,7,1,7,1,3,15,7,3
215,p,17.87,3,4,6,0,3,15,7,19.03,18.39,1,2,7,1,7,1,3,15,7,1
216,p,12.96,3,4,6,0,3,15,7,16.0,16.6,1,2,7,1,7,1,5,15,7,2
217,p,15.59,2,4,10,0,3,15,7,18.76,18.58,1,2,7,1,7,1,3,15,7,3
218,p,14.37,2,1,6,0,3,15,7,18.04,17.27,1,2,7,1,7,1,3,15,7,3
219,p,14.8,2,1,6,0,3,15,7,18.13,17.66,1,2,7,1,7,1,3,15,7,3
220,p,13.42,3,1,10,0,3,15,7,17.86,17.84,1,2,7,1,7,1,3,15,7,3
221,p,13.44,3,1,6,0,3,15,7,16.74,16.54,1,2,7,1,7,1,5,15,7,1
222,p,15.64,2,1,10,0,3,15,7,18.05,17.33,1,2,7,1,7,1,5,15,7,3
223,p,15.16,2,1,10,0,3,15,7,17.94,17.35,1,2,7,1,7,1,3,15,7,2
224,p,14.24,3,4,10,0,3,15,7,16.7,17.07,1,2,7,1,7,1,5,15,7,2
225,p,13.27,2,1,6,0,3,15,7,17.5,17.83,1,2,7,1,7,1,5,15,7,3
226,p,14.33,2,1,10,0,3,15,7,17.27,17.45,1,2,7,1,7,1,3,15,7,2
227,p,18.59,2,1,10,0,3,15,7,18.3,18.82,1,2,7,1,7,1,5,15,7,1
228,p,16.92,2,1,6,0,3,15,7,18.35,18.14,1,2,7,1,7,1,3,15,7,2
229,p,14.63,3,4,10,0,3,15,7,16.62,15.93,1,2,7,1,7,1,5,15,7,3
230,p,14.71,3,1,6,0,3,15,7,18.65,17.98,1,2,7,1,7,1,3,15,7,3
231,p,14.84,2,1,6,0,3,15,7,18.23,18.18,1,2,7,1,7,1,3,15,7,1
232,p,14.1,3,1,10,0,3,15,7,16.49,17.92,1,2,7,1,7,1,3,15,7,1
233,p,11.69,3,1,6,0,3,15,7,17.18,17.11,1,2,7,1,7,1,5,15,7,2
234,p,13.63,3,1,6,0,3,15,7,17.04,16.96,1,2,7,1,7,1,5,15,7,1
235,p,15.29,3,1,6,0,3,15,7,17.75,16.37,1,2,7,1,7,1,3,15,7,3
236,p,15.57,2,1,6,0,3,15,7,18.24,18.41,1,2,7,1,7,1,5,15,7,2
237,p,17.58,2,4,10,0,3,15,7,16.86,17.49,1,2,7,1,7,1,3,15,7,1
238,p,15.4,3,1,6,0,3,15,7,16.93,17.25,1,2,7,1,7,1,3,15,7,3
239,p,13.64,3,4,6,0,3,15,7,16.64,17.59,1,2,7,1,7,1,5,15,7,1
240,p,17.25,2,4,6,0,3,15,7,17.8,17.3,1,2,7,1,7,1,3,15,7,1
241,p,17.84,3,4,10,0,3,15,7,18.83,18.54,1,2,7,1,7,1,3,15,7,3
242,p,15.48,2,4,6,0,3,15,7,17.41,17.4,1,2,7,1,7,1,5,15,7,3
243,p,14.57,3,1,10,0,3,15,7,18.08,18.49,1,2,7,1,7,1,3,15,7,1
244,p,14.45,2,1,6,0,3,15,7,17.63,17.66,1,2,7,1,7,1,3,15,7,2
245,p,15.79,3,4,6,0,3,15,7,18.85,18.13,1,2,7,1,7,1,5,15,7,3
246,p,17.38,2,1,10,0,3,15,7,19.27,18.81,1,2,7,1,7,1,3,15,7,2
247,p,14.91,3,1,10,0,3,15,7,18.38,16.07,1,2,7,1,7,1,5,15,7,3
248,p,16.98,3,1,10,0,3,15,7,17.16,16.65,1,2,7,1,7,1,5,15,7,3
249,p,13.73,3,4,10,0,3,15,7,16.38,16.97,1,2,7,1,7,1,5,15,7,3
250,p,14.99,3,4,10,0,3,15,7,17.19,16.21,1,2,7,1,7,1,3,15,7,2
251,p,15.01,2,1,10,0,3,15,7,18.01,17.33,1,2,7,1,7,1,3,15,7,2
252,p,15.84,2,4,10,0,3,15,7,18.54,18.47,1,2,7,1,7,1,3,15,7,1
253,p,16.62,2,1,10,0,3,15,7,18.54,18.01,1,2,7,1,7,1,5,15,7,2
254,p,11.29,3,1,10,0,3,15,7,16.6,16.69,1,2,7,1,7,1,3,15,7,2
255,p,13.95,3,4,10,0,3,15,7,17.08,15.9,1,2,7,1,7,1,3,15,7,1
256,p,14.27,2,4,6,0,3,15,7,17.35,16.87,1,2,7,1,7,1,5,15,7,1
257,p,17.38,3,4,10,0,3,15,7,17.53,18.3,1,2,7,1,7,1,3,15,7,1
258,p,13.05,2,1,10,0,3,15,7,17.87,17.76,1,2,7,1,7,1,3,15,7,2
259,p,14.45,3,4,6,0,3,15,7,17.43,17.44,1,2,7,1,7,1,5,15,7,1
260,p,15.88,3,4,10,0,3,15,7,17.73,19.16,1,2,7,1,7,1,5,15,7,2
261,p,15.28,3,1,10,0,3,15,7,17.97,17.87,1,2,7,1,7,1,3,15,7,3
262,p,14.68,2,4,10,0,3,15,7,16.19,16.4,1,2,7,1,7,1,3,15,7,2
263,p,14.39,3,1,6,0,3,15,7,16.99,16.08,1,2,7,1,7,1,5,15,7,1
264,p,16.16,3,1,10,0,3,15,7,17.93,17.41,1,2,7,1,7,1,3,15,7,2
265,p,15.47,3,4,6,0,3,15,7,17.56,18.38,1,2,7,1,7,1,5,15,7,1
266,p,14.05,2,1,10,0,3,15,7,16.85,17.07,1,2,7,1,7,1,5,15,7,3
267,p,15.02,3,4,10,0,3,15,7,16.62,16.6,1,2,7,1,7,1,3,15,7,1
268,p,17.17,2,1,10,0,3,15,7,18.52,18.04,1,2,7,1,7,1,5,15,7,1
269,p,15.01,3,4,10,0,3,15,7,17.62,17.39,1,2,7,1,7,1,5,15,7,2
270,p,16.22,2,1,10,0,3,15,7,18.56,18.15,1,2,7,1,7,1,5,15,7,1
271,p,14.94,3,4,6,0,3,15,7,16.6,16.85,1,2,7,1,7,1,3,15,7,1
272,p,13.22,3,1,10,0,3,15,7,17.72,16.43,1,2,7,1,7,1,5,15,7,3
273,p,13.66,2,4,10,0,3,15,7,16.81,16.98,1,2,7,1,7,1,3,15,7,1
274,p,18.31,3,4,10,0,3,15,7,19.29,18.94,1,2,7,1,7,1,5,15,7,1
275,p,11.68,3,1,10,0,3,15,7,17.31,16.62,1,2,7,1,7,1,3,15,7,2
